Parameter,Type,Min,Max,Default,Description
Report_Event_Recorder_Node_IDs_Of_Interest,array of integers,0,2.14748e+09,[],Data will be collected for the nodes in this list. Leave the array empty (default value) to collect data on all nodes. See [example](../json/config-output-configfile-report-event-recorder-node-ids-of-interest.json).
Report_Event_Recorder_PropertyChange_IP_Key_Of_Interest,string,NA,NA,"""""","If the string is not empty, then the recorder will add the PropertyChange event to the list of events that the report is listening to. However, it will only record the events where the property changed the value of the given key."
Report_Event_Recorder_Start_Day,float,0,3.40282e+38,0,The day of the simulation to start collecting data.
Report_Gametocyte_Smear_Sensitivity,float,0.0001,100,0.1,For reports only. The number of microliters of blood tested to find single gametocytes in a traditional smear (corresponds to inverse gametocytes/microliters sensitivity). Used with the BLOOD_SMEAR_GAMETOCYTES diagnostic.
Reporting_Interval,float,1,1000000,1000000,Used by reports and custom reports. Defines the cadence of the report by specifying how many time steps to collect data before writing to the file.
Report_Node_Event_Recorder,boolean,0,1,0,"Enables or disables the ReportNodeEventRecorder.csv output report. When enabled (set to 1) reports will be generated for the broadcasted valid node events, as specified in **Report_Node_Event_Recorder_Events**.<br>Note: This configuration parameter is currently in beta release and has not yet been fully tested."
Report_Node_Event_Recorder_Events,array of strings,NA,NA,[],"The list of node events to include or exclude in the ReportNodeEventRecorder.csv output report, based on how **Report_Node_Event_Recorder_Ignore_Events_In_List** is set. See [example](../json/config-output-configfile-report-node-event-recorder-events.json)."
Report_Node_Event_Recorder_Ignore_Events_In_List,boolean,0,1,0,"If set to false (0), only the node events listed in the **Report_Node_Event_Recorder_Events** array will be included in the ReportNodeEventRecorder.csv output report. If set to true (1), only the node events listed in the array will be excluded, and all other node events will be included. If you want to return all node events from the simulation, leave the node events array empty.<br>Note: This configuration parameter is currently in beta release and has not yet been fully tested."
Report_Node_Event_Recorder_Node_Properties,array of strings,NA,NA,[],"Specifies an array of (optional) node property keys, as defined in **NodeProperties** in the demographics file, to be added as additional columns to the ReportNodeEventRecorder.csv output report. See [example](../json/config-output-configfile-report-node-event-recorder-node-properties.json)."
Report_Node_Event_Recorder_Stats_By_IPs,array of strings,NA,NA,[],"Specifies an array of (optional) individual property keys, as defined in **IndividualProperties** in the demographics file, to be added to the ReportNodeEventRecorder.csv output report. For each key:value pair there will be two additional columns (Key:Value:NumIndividuals, Key:Value:NumInfected) added to the report. For example, with a Risk property key assigned the values of LOW and HIGH there would then be four additional columns (Risk:LOW:NumIndividuals, Risk:LOW:NumInfected, Risk:HIGH:NumIndividuals, Risk:HIGH:NumInfected). An empty array equals no additional columns added. See [example](../json/config-output-configfile-report-node-event-recorder-stats-by-ips.json)."
Report_Parasite_Smear_Sensitivity,float,0.0001,100,0.1,For reports only. The number of microliters of blood tested to find single parasites in a traditional smear (corresponds to inverse parasites/microliters sensitivity). Used with the BLOOD_SMEAR_PARASITES diagnostic.
Report_Surveillance_Event_Recorder,boolean,0,1,0,"Enables or disables the ReportSurveillanceEventRecorder.csv output report. When enabled (set to 1) reports will be generated for the broadcasted valid coordinator events, as specified in **Report_Surveillance_Event_Recorder_Events**.<br>Note: This configuration parameter is currently in beta release and has not yet been fully tested."
Report_Surveillance_Event_Recorder_Events,array of strings,NA,NA,[],"The list of events to include or exclude in the ReportSurveillanceEventRecorder.csv output report, based on how **Report_Surveillance_Event_Recorder_Ignore_Events_In_List** is set. This list must not be empty and is  dependent upon **Report_Surveillance_Event_Recorder** being enabled. See [example](../json/config-output-configfile-report-surveillance-event-recorder-events.json)."
Report_Surveillance_Event_Recorder_Ignore_Events_In_List,boolean,0,1,0,"If set to false (0), only the events listed in the **Report_Surveillance_Event_Recorder_Events** array will be included in the ReportSurveillanceEventRecorder.csv output report. If set to true (1), only the events listed in the array will be excluded, and all other events will be included. If you want to return all events from the simulation, leave the events array empty.<br>Note: This configuration parameter is currently in beta release and has not yet been fully tested. "
Report_Surveillance_Event_Recorder_Stats_By_IPs,array of strings,NA,NA,[],"Specifies an array of (optional) individual property keys, as defined in **IndividualProperties** in the demographics file, to be added to the ReportSurveillanceEventRecorder.csv output report. For each key:value pair there will be two additional columns (Key:Value:NumIndividuals, Key:Value:NumInfected) added to the report. For example, with a Risk property key assigned the values of LOW and HIGH there would then be four additional columns (Risk:LOW:NumIndividuals, Risk:LOW:NumInfected, Risk:HIGH:NumIndividuals, Risk:HIGH:NumInfected). An empty array equals no additional columns added. See [example](../json/config-output-configfile-report-surveillance-event-recorder-stats-by-ips.json)."
Spatial_Output_Channels,array of strings,NA,NA,[],An array of channel names for spatial output by node and time step. The data from each channel will be written to a separate binary file. **Enable_Spatial_Output** must be set to true (1). Possible values are:<br>Air_Temperature<br>    Data related to air temperature.<br>Births<br>    Data related to the number of births.<br>Campaign_Cost<br>    Data related to the costs of a campaign.<br>Disease_Deaths<br>    Data related to the number of deaths due to disease.<br>Human_Infectious_Reservoir<br>    Data related to the total infectiousness of the population.<br>Infections<br>   The fraction of the population currently infected.<br>Land_Temperature<br>    Data related to the average land temperature over all nodes.<br>New_Infections<br>    Data related to the presence of new infections.<br>New_Reported_Infections<br>    Data related to the presence of reported new infections.<br>Population<br>    Data related to the total population in the simulation.<br>Prevalence<br>    Data related to the fraction of the population that is infected.<br>Rainfall<br>    Data related to the presence of rainfall.<br>Relative_Humidity<br>    Data related to the presence of relative humidity.<br>Fever_Prevalence<br>    Data related to the presence of fever.<br>Mean_Parasitemia<br>    Data related to the presence of mean parasitemia.<br>New_Clinical_Cases<br>    Data related to the presence of new clinical cases.<br>New_Diagnostic_Prevalence<br>    Data related to the presence of a new diagnostic.<br>New_Severe_Cases<br>    Data related to the presence of new severe cases.<br>Parasite_Prevalence<br>    Data related to the presence of parasites.<br>Adult_Vectors<br>    Data related to the presence of adult vectors.<br>Daily_EIR<br>    Data related to entomological inoculation rate (EIR) for mosquitoes. See [example](../json/config-output-configfile-spatial-output-channels.json).
Start_Day,float,0,3.40282e+38,0,"The day to start collecting data for the report. Used in all reports that are subclasses of BaseEventReport, such as: ReportEventCounter, MalariaTransmissionReport, and BaseEventReportIntervalOutput."
